Home > Look Up Classes																	
Go to Main Content																	
																	
University of South Carolina (BILD)																	
																	
Skip Module Navigation Links																	
																	
Personal Information		Student		Account Information		Faculty Services											
																	
Search Search  	RETURN TO MENU | SITE MAP | HELP | EXIT																
Look Up Classes		N58254250 Manton M. Matthews															
		Spring 2017															
		2/14/17 15:46															
																	
																	
	Select the box in front of the CRN (C identifies a closed class) and choose Register or Add to Worksheet.																
																	
	Important Deadlines You Need to Know																
																	
Sections Found																	
CSCE - Comp Sci & Comp Engr																	
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Part of Term	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
									TR	05:51 pm-07:51 pm				Nare Karapetyan	01/09-04/24	SWGN 1D15	ARP Analytical Reasoning
C	53574	CSCE	145	7	COL	4	30 - Columbia Full Term	Algorithmic Design I	MW	01:10 pm-02:00 pm	24	22	2	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	ARP Analytical Reasoning
									TR	10:06 am-12:06 pm				Nicholas James Weidner	01/09-04/24	SWGN 1D15	ARP Analytical Reasoning
NR	40709	CSCE	146	1	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	23	1	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	08:30 am-10:30 am				Shannon Rebecca Hood	01/09-04/24	SWGN 1D11	
NR	40710	CSCE	146	2	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	23	1	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	10:50 am-12:50 pm				Preston Reed Barbare	01/09-04/24	SWGN 1D11	
NR	40712	CSCE	146	3	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	21	3	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	01:10 pm-03:10 pm				Taher Abbas Shangari	01/09-04/24	SWGN 1D11	
NR	40713	CSCE	146	4	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	22	2	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	03:30 pm-05:30 pm				Hazhar Rahmani	01/09-04/24	SWGN 1D11	
NR	40714	CSCE	146	5	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	23	1	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	05:50 pm-07:50 pm				Jun Chen	01/09-04/24	SWGN 1D11	
NR	47756	CSCE	146	6	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	15	9	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	08:31 am-10:31 am				Yang Mi	01/09-04/24	SWGN 1D15	
NR	40716	CSCE	146	7	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	23	1	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	10:51 am-12:51 pm				Ivan Panchenko	01/09-04/24	SWGN 1D15	
NR	47758	CSCE	146	8	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	12	12	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	01:11 pm-03:11 pm				Hazhar Rahmani	01/09-04/24	SWGN 1D15	
NR	47759	CSCE	146	9	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	19	5	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	03:31 pm-05:31 pm				Jordan Tyler Wagner	01/09-04/24	SWGN 1D15	
NR	47760	CSCE	146	10	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	21	3	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									W	05:51 pm-07:51 pm				Konstantin Yurievich Rubin	01/09-04/24	SWGN 1D15	
NR	52994	CSCE	146	11	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	14	10	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									F	08:30 am-10:30 am				Jie Cai	01/09-04/24	SWGN 1D11	
NR	52995	CSCE	146	12	COL	4	30 - Columbia Full Term	Algorithmic Design II	TR	04:25 pm-05:40 pm	24	22	2	Jeremiah Jeffrey Shepherd (P)	01/09-04/24	SWGN 1C01	
									F	10:50 am-12:50 pm				Ming Yee Wong	01/09-04/24	SWGN 1D11	
NR	41116	CSCE	201	1	COL	3	30 - Columbia Full Term	Introduction to Computer Security	MWF	02:20 pm-03:10 pm	66	63	3	Phani Krishna Penumarthi (P)	01/09-04/24	SWGN 2A14	
NR	41083	CSCE	204	1	COL	3	30 - Columbia Full Term	Program Design and Development	MWF	08:30 am-09:20 am	34	31	3	Mingxiang Zhu (P)	01/09-04/24	SWGN 2A21	
NR	48537	CSCE	206	1	COL	3	30 - Columbia Full Term	Scientific Applications Programming	TR	10:05 am-11:20 am	50	48	2	Jianjun Hu (P)	01/09-04/24	300MN B201	
C	41072	CSCE	211	1	COL	3	30 - Columbia Full Term	Digital Logic Design	MWF	09:40 am-10:30 am	49	49	0	Chin-Tser Huang (P)	01/09-04/24	SWGN 2A27	
C	47066	CSCE	211	2	COL	3	30 - Columbia Full Term	Digital Logic Design	MWF	03:30 pm-04:20 pm	50	53	-3	Nawras Alkassab (P)	01/09-04/24	SWGN 2A14	
NR	41068	CSCE	212	1	COL	3	30 - Columbia Full Term	Introduction to Computer Architecture	TR	01:15 pm-02:30 pm	66	61	5	Song Wang (P)	01/09-04/24	SWGN 2A14	
NR	41078	CSCE	212	2	COL	3	30 - Columbia Full Term	Introduction to Computer Architecture	MW	08:05 am-09:20 am	66	33	33	Dazhou Guo (P)	01/09-04/24	SWGN 2A14	
NR	51331	CSCE	212	3	COL	3	30 - Columbia Full Term	Introduction to Computer Architecture	TR	04:25 pm-05:40 pm	49	39	10	William Henry Hoskins (P)	01/09-04/24	SWGN 2A27	
NR	47845	CSCE	212	H01	COL	3	30 - Columbia Full Term	HNRS: Introduction to Computer Architecture	TR	10:05 am-11:20 am	28	12	16	Manton M. Matthews (P)	01/09-04/24	SWGN 2A22	SC Honors College
C	41089	CSCE	215	801	COL	1	3A - Columbia First Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	24	0	Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1C01	
									MW	03:30 pm-04:20 pm				Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1D39	
NR	41093	CSCE	215	802	COL	1	3A - Columbia First Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	17	7	Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1C01	
									MW	04:40 pm-05:30 pm				Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1D39	
NR	41099	CSCE	215	803	COL	1	3A - Columbia First Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	23	1	Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1C01	
									TR	08:00 am-08:50 am				Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1D39	
C	47302	CSCE	215	804	COL	1	3A - Columbia First Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	24	0	Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1C01	
									TR	09:05 am-09:55 am				Patrick B. O'Keefe (P)	01/09-02/27	SWGN 1D39	
C	41104	CSCE	215	851	COL	1	3B - Columbia Second Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	24	0	Patrick B. O'Keefe (P)	03/13-04/24	SWGN 1C01	
									MW	03:30 pm-04:20 pm				Patrick B. O'Keefe (P)	03/13-04/24	SWGN 1D39	
C	41109	CSCE	215	852	COL	1	3B - Columbia Second Half Term	UNIX/Linux Fundamentals	MW	02:20 pm-03:10 pm	24	24	0	Patrick B. O'Keefe (P)	03/13-04/24	SWGN 1C01	
									MW	04:40 pm-05:30 pm				Patrick B. O'Keefe (P)	03/13-04/24	SWGN 1D39	
